natural_cost,rationality,actor_reward,actor_action,model_reward_0,model_cooperation,model_reward_1
[2.25 1.75],1.0,[0 9],[1 0],4.49999999999993,-5.10702591327572e-14,4.500000000000007
[2.25 1.75],1.0,[0 9],[2 0],4.499999999999909,-3.2862601528904634e-14,4.500000000000004
[2.25 1.75],1.0,[0 9],[3 0],4.500000000000072,-5.773159728050814e-15,4.4999999999999964
