natural_cost,rationality,actor_reward,actor_action,model_reward_0,model_cooperation,model_reward_1
[2.25 1.25],1.0,[0 9],[1 0],4.499999999999936,-6.128431095930864e-14,4.500000000000007
[2.25 1.25],1.0,[0 9],[2 0],4.499999999999914,-6.794564910705958e-14,4.500000000000004
[2.25 1.25],1.0,[0 9],[3 0],4.500000000000062,-1.1102230246251565e-13,4.4999999999999964
