natural_cost,rationality,actor_reward,actor_action,model_reward_0,model_cooperation,model_reward_1
[1.25 1.25],1.0,[0 9],[1 0],4.499999999999935,-8.038014698286133e-14,4.500000000000007
[1.25 1.25],1.0,[0 9],[2 0],4.499999999999922,-1.2878587085651816e-13,4.500000000000004
[1.25 1.25],1.0,[0 9],[3 0],4.50000000000006,-1.5054624213917123e-13,4.4999999999999964
