target_0,target_1,filename
0.2,0.2,[4 3]_[2 0].png
0.29,0.21,[3 3]_[2 0].png
0.45,0.53,[3 3]_[1 0].png
0.5,0.23,[3 4]_[2 0].png
0.49,0.66,[4 3]_[1 0].png
0.6,0.73,[3 4]_[1 0].png
0.12,0.13,[4 3]_[3 0].png
0.26,0.17,[4 4]_[2 0].png
0.07,0.11,[3 3]_[3 0].png
0.09,0.1,[3 4]_[3 0].png
0.09,0.09,[4 4]_[3 0].png
0.67,0.68,[4 4]_[1 0].png
