trial_num,door,cost,object,target,unique_id,age
2,open,none,rulers,0.9,5a6b35d3d5d4cb0001d643d8,51
1,open,low,chair,0,61145f169fd30c5b41bc1541,24
2,open,none,books,0.33,61145f169fd30c5b41bc1541,24
1,closed,low,hat,0.07,5cf03c96f17e370001a27819,37
2,closed,none,string,0.75,5cf03c96f17e370001a27819,37
1,open,low,rulers,0.7,6238c1ae96054cff467e2c63,22
2,closed,none,hat,0.09,6238c1ae96054cff467e2c63,22
1,open,low,books,0.27,5910a67f5a530d00011f9561,53
2,open,none,cinderblocks,0.9,5910a67f5a530d00011f9561,53
1,open,low,rulers,0.97,610070dbee5929bd59500a26,21
2,closed,none,hat,0.07,610070dbee5929bd59500a26,21
1,open,low,cinderblocks,0.82,6234b670fac1a65a6f832f32,56
2,closed,none,tape,0.58,6234b670fac1a65a6f832f32,56
1,closed,low,string,1,5e9a02d2eca3c3081ae74f1e,30
2,closed,none,plant,0,5e9a02d2eca3c3081ae74f1e,30
1,closed,low,plant,0.75,60fe1df5f8e360f5d66db689,29
2,open,none,chair,0.18,60fe1df5f8e360f5d66db689,29
1,closed,low,tape,0.84,60a9a60bdba032b4544cdf19,20
2,open,none,rulers,0.25,60a9a60bdba032b4544cdf19,20
1,open,low,cinderblocks,0.83,60f1b5914afdfda37d967845,26
2,closed,none,tape,0.26,60f1b5914afdfda37d967845,26
1,open,low,books,0.98,5f5bac39ce8ed832aa378a53,60
2,open,none,cinderblocks,0.52,5f5bac39ce8ed832aa378a53,60
1,closed,low,hat,0.74,5ec792e705a9071db9323de5,27
2,closed,none,string,0.26,5ec792e705a9071db9323de5,27
1,closed,low,tape,0.93,5f4d2b4f0bee2410475399c7,67
2,open,none,rulers,0.95,5f4d2b4f0bee2410475399c7,67
1,open,low,chair,0.09,6115915f5308ff41d36657fb,43
2,open,none,books,0.58,6115915f5308ff41d36657fb,43
1,open,low,cinderblocks,0.98,614f3ad3e0837475bb79d175,38
2,closed,none,tape,0.28,614f3ad3e0837475bb79d175,38
1,closed,low,plant,0.99,623498dfe5c18cab77315e66,51
2,open,none,chair,0,623498dfe5c18cab77315e66,51
1,closed,low,hat,0.37,5f395dab7dda214b70b6c4f8,54
2,closed,none,string,1,5f395dab7dda214b70b6c4f8,54
1,closed,low,string,1,615e24b3c6883480797eff58,26
2,closed,none,plant,0.09,615e24b3c6883480797eff58,26
1,closed,low,string,0.99,55e1e437ac274f0005e95a48,37
2,closed,none,plant,0.18,55e1e437ac274f0005e95a48,37
1,open,low,books,0.96,5f7d3f1bca7747219c31c905,22
2,open,none,cinderblocks,0.41,5f7d3f1bca7747219c31c905,22
1,closed,low,tape,1,5e08bbbafeea891c97523e87,28
2,open,none,rulers,1,5e08bbbafeea891c97523e87,28
1,open,low,chair,0.3,60fd91d452898942b210eb4e,20
2,open,none,books,0.55,60fd91d452898942b210eb4e,20
1,open,low,books,0.99,613e2422fe4dd09d869b2944,59
2,open,none,cinderblocks,0.75,613e2422fe4dd09d869b2944,59
1,open,low,rulers,0.78,61158a8f73a09bf1fe31e001,20
2,closed,none,hat,0.16,61158a8f73a09bf1fe31e001,20
1,closed,low,plant,0.25,5e9f7c31d8f6d20db4821ba0,35
2,open,none,chair,0.78,5e9f7c31d8f6d20db4821ba0,35
1,open,low,cinderblocks,0.62,60ff07a792865127477a553e,19
2,closed,none,tape,0.52,60ff07a792865127477a553e,19
1,open,low,rulers,0.93,5db254ae709cfb000a35d074,32
2,closed,none,hat,0.42,5db254ae709cfb000a35d074,32
