target,trial,object,unique_id,age
2,exclusion_1,hat,fn685wq,34
0,exclusion_2,hat,fn685wq,34
0,trial_1,tape,E8V1ipS,35
0,exclusion_1,tape,E8V1ipS,35
0,exclusion_2,tape,E8V1ipS,35
1,trial_1,books,v6yR42v,25
1,exclusion_1,books,v6yR42v,25
0,exclusion_2,books,v6yR42v,25
1,trial_1,cinderblocks,F2tLbU4,45
1,exclusion_1,cinderblocks,F2tLbU4,45
0,exclusion_2,cinderblocks,F2tLbU4,45
1,trial_1,cinderblocks,vW9sp8z,44
1,exclusion_1,cinderblocks,vW9sp8z,44
0,exclusion_2,cinderblocks,vW9sp8z,44
1,trial_1,tape,eo4sd9f,35
1,exclusion_1,tape,eo4sd9f,35
0,exclusion_2,tape,eo4sd9f,35
1,trial_1,cinderblocks,pEO8tqx,60
0,exclusion_1,cinderblocks,pEO8tqx,60
0,exclusion_2,cinderblocks,pEO8tqx,60
0,trial_1,hat,YQJjHlu,27
1,exclusion_1,hat,YQJjHlu,27
0,exclusion_2,hat,YQJjHlu,27
0,trial_1,rulers,pxmlevd,44
1,exclusion_1,rulers,pxmlevd,44
0,exclusion_2,rulers,pxmlevd,44
1,trial_1,hat,TtUKdyX,30
1,exclusion_1,hat,TtUKdyX,30
0,exclusion_2,hat,TtUKdyX,30
1,trial_1,fishbowl,t3zKoHf,38
1,exclusion_1,fishbowl,t3zKoHf,38
0,exclusion_2,fishbowl,t3zKoHf,38
0,trial_1,rulers,PpMEFAG,30
0,exclusion_1,rulers,PpMEFAG,30
0,exclusion_2,rulers,PpMEFAG,30
1,trial_1,books,Ba79EyP,33
1,exclusion_1,books,Ba79EyP,33
0,exclusion_2,books,Ba79EyP,33
0,trial_1,hat,2Jze8sM,31
1,exclusion_1,hat,2Jze8sM,31
0,exclusion_2,hat,2Jze8sM,31
1,trial_1,plant,3RwFZh0,31
1,exclusion_1,plant,3RwFZh0,31
0,exclusion_2,plant,3RwFZh0,31
1,trial_1,plant,RxaQ0BU,49
1,exclusion_1,plant,RxaQ0BU,49
0,exclusion_2,plant,RxaQ0BU,49
0,trial_1,hat,daMU4D6,30
1,exclusion_1,hat,daMU4D6,30
0,exclusion_2,hat,daMU4D6,30
1,trial_1,fishbowl,2WH8nw9,39
1,exclusion_1,fishbowl,2WH8nw9,39
0,exclusion_2,fishbowl,2WH8nw9,39
1,trial_1,books,3YYIgHv,37
1,exclusion_1,books,3YYIgHv,37
0,exclusion_2,books,3YYIgHv,37
1,trial_1,cinderblocks,tr0LFpb,60
1,exclusion_1,cinderblocks,tr0LFpb,60
0,exclusion_2,cinderblocks,tr0LFpb,60
1,trial_1,plant,znEKe1Q,58
1,exclusion_1,plant,znEKe1Q,58
0,exclusion_2,plant,znEKe1Q,58
1,trial_1,plant,6zorSuU,26
1,exclusion_1,plant,6zorSuU,26
0,exclusion_2,plant,6zorSuU,26
0,trial_1,tape,MTCJJIt,26
0,exclusion_1,tape,MTCJJIt,26
0,exclusion_2,tape,MTCJJIt,26
1,trial_1,books,Nu74cyz,40
1,exclusion_1,books,Nu74cyz,40
0,exclusion_2,books,Nu74cyz,40
1,trial_1,cinderblocks,bM5jFCf,57
1,exclusion_1,cinderblocks,bM5jFCf,57
0,exclusion_2,cinderblocks,bM5jFCf,57
