~key~,~unique_id~,~results~,~completion_date~
~237~,~w1dJUMz~,~{"setup":{"condition":"none","side":"right","object":"cinderblocks","doors":"open"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":768,"screenW":1024},"subject_information":{"language":"english","enjoyment":"1","asses":"Yes","age":"44","gender":"Female","education":"3","problems":"none","fairprice":"yes","comments":"I think the right door is dangerous to use."},"time_in_minutes":1.1192833333333334}~,~2019-09-17 07:38:20~
~238~,~YSutkz6~,~{"setup":{"condition":"none","side":"left","object":"books","doors":"open"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":720,"screenW":1281},"subject_information":{"language":"eng","enjoyment":"1","asses":"Yes","age":"21","gender":"Male","education":"1","problems":"","fairprice":"1","comments":""},"time_in_minutes":1.47595}~,~2019-09-17 07:38:32~
~239~,~qTPE1hb~,~{"setup":{"condition":"none","side":"left","object":"plant","doors":"closed"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":864,"screenW":1536},"subject_information":{"language":"English","enjoyment":"1","asses":"Yes","age":"60","gender":"Male","education":"1","problems":"no","fairprice":"yes","comments":""},"time_in_minutes":2.0614666666666666}~,~2019-09-17 07:38:34~
~240~,~fboo02e~,~{"setup":{"condition":"none","side":"right","object":"cinderblocks","doors":"open"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":720,"screenW":1280},"subject_information":{"language":"english","enjoyment":"1","asses":"Yes","age":"39","gender":"Female","education":"3","problems":"no","fairprice":".45","comments":""},"time_in_minutes":1.41955}~,~2019-09-17 07:39:12~
~241~,~KoqvUpy~,~{"setup":{"condition":"none","side":"right","object":"tape","doors":"closed"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":1080,"screenW":1920},"subject_information":{"language":"English","enjoyment":"2","asses":"Yes","age":"44","gender":"Male","education":"1","problems":"no","fairprice":"yes","comments":"none"},"time_in_minutes":1.7476833333333333}~,~2019-09-17 07:39:22~
~242~,~dQ6tF3G~,~{"setup":{"condition":"none","side":"left","object":"tape","doors":"closed"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":768,"screenW":1366},"subject_information":{"language":"English","enjoyment":"1","asses":"Yes","age":"38","gender":"Female","education":"2","problems":"no","fairprice":".45","comments":""},"time_in_minutes":2.294766666666667}~,~2019-09-17 07:39:54~
~243~,~StEEAG7~,~{"setup":{"condition":"none","side":"right","object":"plant","doors":"closed"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":1080,"screenW":1920},"subject_information":{"language":"English","enjoyment":"1","asses":"Yes","age":"25","gender":"Male","education":"1","problems":"","fairprice":"","comments":""},"time_in_minutes":0.68635}~,~2019-09-17 07:40:00~
~244~,~2BAdl4t~,~{"setup":{"condition":"none","side":"right","object":"books","doors":"open"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Mac","screenH":1050,"screenW":1680},"subject_information":{"language":"English","enjoyment":"1","asses":"Yes","age":"54","gender":"Female","education":"3","problems":"no","fairprice":".45","comments":""},"time_in_minutes":2.81735}~,~2019-09-17 07:40:23~
~245~,~SpqNmQr~,~{"setup":{"condition":"none","side":"left","object":"books","doors":"open"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":768,"screenW":1366},"subject_information":{"language":"English","enjoyment":"2","asses":"Yes","age":"27","gender":"Male","education":"3","problems":"None","fairprice":"Yes","comments":""},"time_in_minutes":1.3759666666666666}~,~2019-09-17 07:42:15~
~246~,~XWZcKAI~,~{"setup":{"condition":"none","side":"left","object":"fishbowl","doors":"closed"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":1080,"screenW":1920},"subject_information":{"language":"English","enjoyment":"1","asses":"Yes","age":"29","gender":"Male","education":"2","problems":"No, thank you","fairprice":"$0.45","comments":""},"time_in_minutes":0.89215}~,~2019-09-17 07:42:24~
~247~,~xd6ynMZ~,~{"setup":{"condition":"none","side":"left","object":"tape","doors":"closed"},"trials":[{"trial_num":1,"target":"0"},{"exclusion_num":1,"target":"2"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":768,"screenW":1366},"subject_information":{"language":"English","enjoyment":"2","asses":"Yes","age":"30","gender":"Female","education":"4","problems":"No problem","fairprice":"0.45","comments":"Interesting"},"time_in_minutes":4.6249}~,~2019-09-17 07:42:34~
~248~,~fYRwvo7~,~{"setup":{"condition":"none","side":"left","object":"hat","doors":"closed"},"trials":[{"trial_num":1,"target":"0"},{"exclusion_num":1,"target":"2"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":768,"screenW":1366},"subject_information":{"language":"English","enjoyment":"1","asses":"Yes","age":"30","gender":"Male","education":"4","problems":"No.","fairprice":"0.45","comments":"Interesting."},"time_in_minutes":2.2149}~,~2019-09-17 07:43:00~
~249~,~qZ8l2gD~,~{"setup":{"condition":"none","side":"left","object":"cinderblocks","doors":"open"},"trials":[{"trial_num":1,"target":"0"},{"exclusion_num":1,"target":"2"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":800,"screenW":1280},"subject_information":{"language":"English","enjoyment":"2","asses":"Yes","age":"30","gender":"Female","education":"3","problems":"no","fairprice":"0.45","comments":"good"},"time_in_minutes":5.6064}~,~2019-09-17 07:43:02~
~250~,~PJhUaKe~,~{"setup":{"condition":"none","side":"right","object":"rulers","doors":"open"},"trials":[{"trial_num":1,"target":"0"},{"exclusion_num":1,"target":"0"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Linux","screenH":867,"screenW":400},"subject_information":{"language":"English","enjoyment":"1","asses":"Yes","age":"23","gender":"Female","education":"3","problems":"","fairprice":"$1","comments":""},"time_in_minutes":2.3425666666666665}~,~2019-09-17 07:43:10~
~251~,~cCAHbfL~,~{"setup":{"condition":"none","side":"right","object":"fishbowl","doors":"closed"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Firefox","OS":"Windows","screenH":768,"screenW":1366},"subject_information":{"language":"English","enjoyment":"2","asses":"Yes","age":"71","gender":"Female","education":"2","problems":"No","fairprice":"Yes","comments":""},"time_in_minutes":2.5081166666666665}~,~2019-09-17 07:43:35~
~252~,~xpb5Zxh~,~{"setup":{"condition":"none","side":"right","object":"rulers","doors":"open"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"1"}],"system":{"Browser":"Firefox","OS":"Windows","screenH":1080,"screenW":1920},"subject_information":{"language":"English","enjoyment":"2","asses":"Yes","age":"40","gender":"Male","education":"2","problems":"No.","fairprice":".50","comments":""},"time_in_minutes":3.41335}~,~2019-09-17 07:43:57~
~253~,~DQThYyO~,~{"setup":{"condition":"none","side":"right","object":"hat","doors":"closed"},"trials":[{"trial_num":1,"target":"0"},{"exclusion_num":1,"target":"2"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":768,"screenW":1364},"subject_information":{"language":"english","enjoyment":"1","asses":"Yes","age":"30","gender":"Male","education":"4","problems":"no","fairprice":"0.45","comments":"very interesting"},"time_in_minutes":2.8424833333333335}~,~2019-09-17 07:44:09~
~254~,~UbJOXrZ~,~{"setup":{"condition":"none","side":"right","object":"fishbowl","doors":"closed"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":768,"screenW":1366},"subject_information":{"language":"English","enjoyment":"1","asses":"No","age":"32","gender":"Female","education":"3","problems":"none ","fairprice":"0.5","comments":""},"time_in_minutes":2.7497}~,~2019-09-17 07:44:34~
~255~,~vz4Smjg~,~{"setup":{"condition":"none","side":"right","object":"books","doors":"open"},"trials":[{"trial_num":1,"target":"0"},{"exclusion_num":1,"target":"2"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":768,"screenW":1366},"subject_information":{"language":"English","enjoyment":"1","asses":"Yes","age":"35","gender":"Male","education":"3","problems":"NONE","fairprice":"0.45","comments":"good"},"time_in_minutes":4.52255}~,~2019-09-17 07:44:45~
~256~,~VEOnwX4~,~{"setup":{"condition":"none","side":"left","object":"fishbowl","doors":"closed"},"trials":[{"trial_num":1,"target":"0"},{"exclusion_num":1,"target":"0"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":768,"screenW":1366},"subject_information":{"language":"English","enjoyment":"1","asses":"Yes","age":"35","gender":"Female","education":"3","problems":"NOTHING","fairprice":"50","comments":"nice"},"time_in_minutes":3.401683333333333}~,~2019-09-17 07:44:55~
~257~,~TE9d7y6~,~{"setup":{"condition":"none","side":"left","object":"tape","doors":"closed"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Linux","screenH":768,"screenW":1366},"subject_information":{"language":"English","enjoyment":"2","asses":"Yes","age":"57","gender":"Female","education":"3","problems":"no","fairprice":".45","comments":"Thank you for the survey"},"time_in_minutes":4.8914}~,~2019-09-17 07:45:06~
~258~,~8DSugZ5~,~{"setup":{"condition":"none","side":"left","object":"fishbowl","doors":"closed"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":720,"screenW":1280},"subject_information":{"language":"english","enjoyment":"1","asses":"Yes","age":"28","gender":"Female","education":"1","problems":"","fairprice":".45","comments":""},"time_in_minutes":4.877816666666667}~,~2019-09-17 07:46:05~
~259~,~iFotM9h~,~{"setup":{"condition":"none","side":"left","object":"fishbowl","doors":"closed"},"trials":[{"trial_num":1,"target":"0"},{"exclusion_num":1,"target":"2"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":800,"screenW":1280},"subject_information":{"language":"English","enjoyment":"1","asses":"Yes","age":"30","gender":"Female","education":"4","problems":"no","fairprice":"0.45","comments":"very interesting"},"time_in_minutes":1.57195}~,~2019-09-17 07:47:14~
~260~,~M0RzNy0~,~{"setup":{"condition":"none","side":"left","object":"tape","doors":"closed"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":864,"screenW":1536},"subject_information":{"language":"English","enjoyment":"2","asses":"Yes","age":"31","gender":"Female","education":"3","problems":"No problems","fairprice":".45","comments":""},"time_in_minutes":1.28015}~,~2019-09-17 07:47:14~
~261~,~4rjn9b8~,~{"setup":{"condition":"none","side":"left","object":"cinderblocks","doors":"open"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Mac","screenH":900,"screenW":1440},"subject_information":{"language":"English","enjoyment":"1","asses":"Yes","age":"36","gender":"Male","education":"3","problems":"no","fairprice":".40","comments":""},"time_in_minutes":0.9530833333333333}~,~2019-09-17 07:47:52~
~262~,~CYABAIb~,~{"setup":{"condition":"none","side":"right","object":"rulers","doors":"open"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":768,"screenW":1366},"subject_information":{"language":"English","enjoyment":"2","asses":"Yes","age":"66","gender":"Female","education":"3","problems":"no ","fairprice":"no idea","comments":"no"},"time_in_minutes":6.342716666666667}~,~2019-09-17 07:48:20~
~263~,~nl4FrLr~,~{"setup":{"condition":"none","side":"right","object":"plant","doors":"closed"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":864,"screenW":1536},"subject_information":{"language":"english","enjoyment":"1","asses":"Yes","age":"38","gender":"Male","education":"2","problems":"no","fairprice":"$0.50","comments":""},"time_in_minutes":1.3208833333333334}~,~2019-09-17 07:48:41~
~264~,~HmENBBY~,~{"setup":{"condition":"none","side":"right","object":"books","doors":"open"},"trials":[{"trial_num":1,"target":"1"},{"exclusion_num":1,"target":"1"},{"exclusion_num":2,"target":"0"}],"system":{"Browser":"Chrome","OS":"Windows","screenH":864,"screenW":1536},"subject_information":{"language":"English","enjoyment":"1","asses":"Yes","age":"51","gender":"Male","education":"3","problems":"No","fairprice":"0.50","comments":""},"time_in_minutes":1.678}~,~2019-09-17 07:49:31~
