none,plant,low,chair
none,chair,low,books
none,books,low,cinderblocks
none,cinderblocks,low,tape
none,tape,low,rulers
none,rulers,low,hat
none,hat,low,string
none,string,low,plant
none,plant,low,chair
none,chair,low,books
none,books,low,cinderblocks
none,cinderblocks,low,tape
none,tape,low,rulers
none,rulers,low,hat
none,hat,low,string
none,string,low,plant
none,plant,low,chair
none,chair,low,books
none,books,low,cinderblocks
none,cinderblocks,low,tape
none,tape,low,rulers
none,rulers,low,hat
none,hat,low,string
none,string,low,plant
none,plant,low,chair
none,chair,low,books
none,books,low,cinderblocks
none,cinderblocks,low,tape
none,tape,low,rulers
none,rulers,low,hat
none,hat,low,string
none,string,low,plant
none,plant,low,chair
none,chair,low,books
none,books,low,cinderblocks
none,cinderblocks,low,tape
none,tape,low,rulers
none,rulers,low,hat
none,hat,low,string
none,string,low,plant
low,plant,none,chair
low,chair,none,books
low,books,none,cinderblocks
low,cinderblocks,none,tape
low,tape,none,rulers
low,rulers,none,hat
low,hat,none,string
low,string,none,plant
low,plant,none,chair
low,chair,none,books
low,books,none,cinderblocks
low,cinderblocks,none,tape
low,tape,none,rulers
low,rulers,none,hat
low,hat,none,string
low,string,none,plant
low,plant,none,chair
low,chair,none,books
low,books,none,cinderblocks
low,cinderblocks,none,tape
low,tape,none,rulers
low,rulers,none,hat
low,hat,none,string
low,string,none,plant
low,plant,none,chair
low,chair,none,books
low,books,none,cinderblocks
low,cinderblocks,none,tape
low,tape,none,rulers
low,rulers,none,hat
low,hat,none,string
low,string,none,plant
low,plant,none,chair
low,chair,none,books
low,books,none,cinderblocks
low,cinderblocks,none,tape
low,tape,none,rulers
low,rulers,none,hat
low,hat,none,string
low,string,none,plant
