natural_cost,rationality,actor_reward,actor_action,model_reward_0,model_cooperation,model_reward_1
[1.25 1.25],1.0,[0 9],[1 0],5.162527330639653,13.827579610061749,4.336378028155601
[1.25 1.25],1.0,[0 9],[2 0],5.91745260364201,9.262889675531632,5.276311344463574
[1.25 1.25],1.0,[0 9],[3 0],6.4900617456307605,4.328137169433486,6.224749687667529
