natural_cost,rationality,actor_reward,actor_action,model_reward_0,model_cooperation,model_reward_1
[1.25 2.25],1.0,[0 9],[1 0],4.928521021375145,14.214398946933164,4.085149708819905
[1.25 2.25],1.0,[0 9],[2 0],5.746343606408032,9.524137280275674,4.867828923588757
[1.25 2.25],1.0,[0 9],[3 0],6.2657797662032255,4.640757554360162,5.766744193736572
