participant,first_object,second_object,age,target,trial,condition,first_side,second_side,doors
186,tape,hat,52,0.74,trial_4,incongruent,left,right,closed
186,tape,hat,52,left,exclusion_1,incongruent,left,right,closed
186,tape,hat,52,equal,exclusion_2,incongruent,left,right,closed
187,tape,plant,46,1,trial_1,incongruent,right,left,closed
187,tape,plant,46,0.81,trial_2,incongruent,right,left,closed
187,tape,plant,46,0,trial_3,incongruent,right,left,closed
187,tape,plant,46,0.85,trial_4,incongruent,right,left,closed
187,tape,plant,46,right,exclusion_1,incongruent,right,left,closed
187,tape,plant,46,equal,exclusion_2,incongruent,right,left,closed
188,tape,tape,43,1,trial_1,congruent,right,right,closed
188,tape,tape,43,0.9,trial_2,congruent,right,right,closed
188,tape,tape,43,1,trial_3,congruent,right,right,closed
188,tape,tape,43,0.83,trial_4,congruent,right,right,closed
188,tape,tape,43,right,exclusion_1,congruent,right,right,closed
188,tape,tape,43,equal,exclusion_2,congruent,right,right,closed
