natural_cost,rationality,actor_reward,actor_action,model_reward_0,model_cooperation,model_reward_1
[2.25 2.25],1.0,[0 9],[1 0],4.336010602088502,12.368922522761757,3.5640911738716876
[2.25 2.25],1.0,[0 9],[2 0],4.867179040028841,10.801708922712443,4.3813653817546685
[2.25 2.25],1.0,[0 9],[3 0],5.340682464554658,6.6481743381034235,5.741254850588349
