natural_cost,rationality,actor_reward,actor_action,model_reward_0,model_cooperation,model_reward_1
[2.25 1.25],1.0,[0 9],[1 0],4.449393321508941,11.871254733448986,3.731918661550509
[2.25 1.25],1.0,[0 9],[2 0],4.903212669956903,10.336981149625693,4.604710954962997
[2.25 1.25],1.0,[0 9],[3 0],5.411809910363127,6.288272227965982,5.996475017787967
