natural_cost,rationality,actor_reward,actor_action,model_reward_0,model_cooperation,model_reward_1
[1.25 2.25],1.0,[0 9],[1 0],4.150881976007421,12.5334296934693,3.456778889121879
[1.25 2.25],1.0,[0 9],[2 0],4.821563391274166,11.168646388812565,4.1573292239495405
[1.25 2.25],1.0,[0 9],[3 0],5.276079939010488,7.044927188793956,5.448637911224519
