natural_cost,rationality,actor_reward,actor_action,model_reward_0,model_cooperation,model_reward_1
[2.25 1.25],1.0,[0 9],[1 0],5.368365519814386,13.276047266127717,4.588116750097667
[2.25 1.25],1.0,[0 9],[2 0],6.104586299149821,8.932770362534102,5.685667628276381
[2.25 1.25],1.0,[0 9],[3 0],6.697292080865486,3.9344890642940045,6.676640776192343
