participant,first_object,second_object,age,target,trial,condition,first_side,second_side,doors
81,books,chair,32,1,trial_1,incongruent,right,left,open
81,books,chair,32,0.79,trial_2,incongruent,right,left,open
81,books,chair,32,0,trial_3,incongruent,right,left,open
81,books,chair,32,0.81,trial_4,incongruent,right,left,open
81,books,chair,32,right,exclusion_1,incongruent,right,left,open
81,books,chair,32,equal,exclusion_2,incongruent,right,left,open
82,books,chair,36,1,trial_1,incongruent,left,right,open
82,books,chair,36,0.69,trial_2,incongruent,left,right,open
82,books,chair,36,1,trial_3,incongruent,left,right,open
82,books,chair,36,0.39,trial_4,incongruent,left,right,open
82,books,chair,36,left,exclusion_1,incongruent,left,right,open
82,books,chair,36,equal,exclusion_2,incongruent,left,right,open
83,books,chair,60,0,trial_1,incongruent,right,right,open
83,books,chair,60,1,trial_2,incongruent,right,right,open
83,books,chair,60,0,trial_3,incongruent,right,right,open
83,books,chair,60,0.71,trial_4,incongruent,right,right,open
83,books,chair,60,right,exclusion_1,incongruent,right,right,open
83,books,chair,60,equal,exclusion_2,incongruent,right,right,open
84,books,cinderblocks,21,0,trial_1,incongruent,left,right,open
84,books,cinderblocks,21,0.33,trial_2,incongruent,left,right,open
84,books,cinderblocks,21,0,trial_3,incongruent,left,right,open
84,books,cinderblocks,21,0.54,trial_4,incongruent,left,right,open
84,books,cinderblocks,21,left,exclusion_1,incongruent,left,right,open
84,books,cinderblocks,21,equal,exclusion_2,incongruent,left,right,open
85,books,cinderblocks,28,0,trial_1,incongruent,right,left,open
85,books,cinderblocks,28,0.69,trial_2,incongruent,right,left,open
85,books,cinderblocks,28,1,trial_3,incongruent,right,left,open
85,books,cinderblocks,28,0.91,trial_4,incongruent,right,left,open
85,books,cinderblocks,28,right,exclusion_1,incongruent,right,left,open
85,books,cinderblocks,28,left,exclusion_2,incongruent,right,left,open
86,books,cinderblocks,49,0,trial_1,incongruent,right,left,open
86,books,cinderblocks,49,0,trial_2,incongruent,right,left,open
86,books,cinderblocks,49,1,trial_3,incongruent,right,left,open
86,books,cinderblocks,49,1,trial_4,incongruent,right,left,open
86,books,cinderblocks,49,right,exclusion_1,incongruent,right,left,open
86,books,cinderblocks,49,equal,exclusion_2,incongruent,right,left,open
87,books,cinderblocks,38,0,trial_1,incongruent,right,left,open
87,books,cinderblocks,38,0.98,trial_2,incongruent,right,left,open
87,books,cinderblocks,38,0,trial_3,incongruent,right,left,open
87,books,cinderblocks,38,0.98,trial_4,incongruent,right,left,open
87,books,cinderblocks,38,right,exclusion_1,incongruent,right,left,open
87,books,cinderblocks,38,left,exclusion_2,incongruent,right,left,open
88,books,rulers,42,0,trial_1,incongruent,right,left,open
88,books,rulers,42,0.52,trial_2,incongruent,right,left,open
88,books,rulers,42,1,trial_3,incongruent,right,left,open
88,books,rulers,42,0.5,trial_4,incongruent,right,left,open
88,books,rulers,42,right,exclusion_1,incongruent,right,left,open
88,books,rulers,42,left,exclusion_2,incongruent,right,left,open
89,books,rulers,51,1,trial_1,incongruent,right,left,open
89,books,rulers,51,0.34,trial_2,incongruent,right,left,open
