participant,first_object,second_object,age,target,trial,condition,first_side,second_side,doors
121,string,hat,23,0,trial_1,incongruent,right,right,closed
121,string,hat,23,0.97,trial_2,incongruent,right,right,closed
121,string,hat,23,0,trial_3,incongruent,right,right,closed
121,string,hat,23,1,trial_4,incongruent,right,right,closed
121,string,hat,23,right,exclusion_1,incongruent,right,right,closed
121,string,hat,23,equal,exclusion_2,incongruent,right,right,closed
122,string,hat,28,0,trial_1,incongruent,left,left,closed
122,string,hat,28,1,trial_2,incongruent,left,left,closed
122,string,hat,28,0,trial_3,incongruent,left,left,closed
122,string,hat,28,1,trial_4,incongruent,left,left,closed
122,string,hat,28,left,exclusion_1,incongruent,left,left,closed
122,string,hat,28,left,exclusion_2,incongruent,left,left,closed
123,string,hat,36,0,trial_1,incongruent,left,left,closed
123,string,hat,36,0.81,trial_2,incongruent,left,left,closed
123,string,hat,36,0,trial_3,incongruent,left,left,closed
123,string,hat,36,0.74,trial_4,incongruent,left,left,closed
123,string,hat,36,left,exclusion_1,incongruent,left,left,closed
123,string,hat,36,left,exclusion_2,incongruent,left,left,closed
124,string,plant,23,1,trial_1,incongruent,left,right,closed
124,string,plant,23,0.71,trial_2,incongruent,left,right,closed
124,string,plant,23,1,trial_3,incongruent,left,right,closed
124,string,plant,23,0.81,trial_4,incongruent,left,right,closed
124,string,plant,23,left,exclusion_1,incongruent,left,right,closed
124,string,plant,23,equal,exclusion_2,incongruent,left,right,closed
125,string,plant,26,0,trial_1,incongruent,right,left,closed
125,string,plant,26,0.9,trial_2,incongruent,right,left,closed
125,string,plant,26,0,trial_3,incongruent,right,left,closed
125,string,plant,26,0.94,trial_4,incongruent,right,left,closed
125,string,plant,26,right,exclusion_1,incongruent,right,left,closed
125,string,plant,26,left,exclusion_2,incongruent,right,left,closed
126,string,plant,31,1,trial_1,incongruent,right,right,closed
126,string,plant,31,0.52,trial_2,incongruent,right,right,closed
126,string,plant,31,1,trial_3,incongruent,right,right,closed
126,string,plant,31,0.24,trial_4,incongruent,right,right,closed
126,string,plant,31,right,exclusion_1,incongruent,right,right,closed
126,string,plant,31,equal,exclusion_2,incongruent,right,right,closed
127,string,plant,24,1,trial_1,incongruent,right,right,closed
127,string,plant,24,0.89,trial_2,incongruent,right,right,closed
127,string,plant,24,0,trial_3,incongruent,right,right,closed
127,string,plant,24,0.57,trial_4,incongruent,right,right,closed
127,string,plant,24,right,exclusion_1,incongruent,right,right,closed
127,string,plant,24,equal,exclusion_2,incongruent,right,right,closed
130,string,tape,33,1,trial_1,incongruent,left,right,closed
130,string,tape,33,0.92,trial_2,incongruent,left,right,closed
