participant,first_object,second_object,age,target,trial,condition,first_side,second_side,doors
189,chair,chair,26,1,trial_1,congruent,right,right,open
189,chair,chair,26,0.82,trial_2,congruent,right,right,open
189,chair,chair,26,1,trial_3,congruent,right,right,open
189,chair,chair,26,0.64,trial_4,congruent,right,right,open
189,chair,chair,26,right,exclusion_1,congruent,right,right,open
189,chair,chair,26,equal,exclusion_2,congruent,right,right,open
190,string,string,23,1,trial_1,congruent,left,right,closed
190,string,string,23,0.89,trial_2,congruent,left,right,closed
190,string,string,23,1,trial_3,congruent,left,right,closed
190,string,string,23,0.76,trial_4,congruent,left,right,closed
190,string,string,23,left,exclusion_1,congruent,left,right,closed
190,string,string,23,equal,exclusion_2,congruent,left,right,closed
192,hat,string,59,0,trial_1,incongruent,left,left,closed
192,hat,string,59,0.92,trial_2,incongruent,left,left,closed
192,hat,string,59,0,trial_3,incongruent,left,left,closed
192,hat,string,59,0.89,trial_4,incongruent,left,left,closed
192,hat,string,59,left,exclusion_1,incongruent,left,left,closed
192,hat,string,59,left,exclusion_2,incongruent,left,left,closed
193,hat,plant,32,0,trial_1,incongruent,right,left,closed
193,hat,plant,32,0.86,trial_2,incongruent,right,left,closed
193,hat,plant,32,1,trial_3,incongruent,right,left,closed
193,hat,plant,32,0.35,trial_4,incongruent,right,left,closed
193,hat,plant,32,right,exclusion_1,incongruent,right,left,closed
193,hat,plant,32,equal,exclusion_2,incongruent,right,left,closed
195,hat,hat,55,0,trial_1,congruent,right,right,closed
195,hat,hat,55,0.97,trial_2,congruent,right,right,closed
195,hat,hat,55,0,trial_3,congruent,right,right,closed
195,hat,hat,55,0.98,trial_4,congruent,right,right,closed
195,hat,hat,55,right,exclusion_1,congruent,right,right,closed
195,hat,hat,55,equal,exclusion_2,congruent,right,right,closed
196,rulers,chair,30,0,trial_1,incongruent,right,left,open
196,rulers,chair,30,1,trial_2,incongruent,right,left,open
196,rulers,chair,30,0,trial_3,incongruent,right,left,open
196,rulers,chair,30,1,trial_4,incongruent,right,left,open
196,rulers,chair,30,right,exclusion_1,incongruent,right,left,open
196,rulers,chair,30,left,exclusion_2,incongruent,right,left,open
197,rulers,rulers,31,1,trial_1,congruent,left,right,open
197,rulers,rulers,31,0.84,trial_2,congruent,left,right,open
197,rulers,rulers,31,0,trial_3,congruent,left,right,open
197,rulers,rulers,31,0.94,trial_4,congruent,left,right,open
197,rulers,rulers,31,left,exclusion_1,congruent,left,right,open
197,rulers,rulers,31,right,exclusion_2,congruent,left,right,open
