target_0,target_1,filename
0.51,0.54,[4 3]_[1 0].png
0.99,0.97,[4 3]_[3 0].png
0.74,0.72,[3 3]_[2 0].png
0.38,0.59,[3 3]_[1 0].png
0.35,0.44,[4 4]_[1 0].png
0.34,0.7,[3 4]_[2 0].png
0.18,0.79,[4 4]_[3 0].png
0.29,0.72,[4 3]_[2 0].png
0.17,0.99,[3 3]_[3 0].png
0.27,0.73,[4 4]_[2 0].png
0.21,0.97,[3 4]_[3 0].png
0.56,0.33,[3 4]_[1 0].png
